symbol,direction,entry_time,entry_price,exit_time,exit_price,size,pnl
SPY,short,2025-05-29 14:20:00+00:00,589.2000122070312,2025-05-29 19:20:00+00:00,589.5100708007812,0.848608264835391,-0.2631182852394889
SPY,long,2025-05-29 19:20:00+00:00,589.5100708007812,2025-05-30 13:40:00+00:00,587.75,0.8481619310096057,-1.492825049104248
SPY,short,2025-05-30 13:40:00+00:00,587.75,2025-05-30 14:40:00+00:00,589.0999755859375,0.8507018290089323,-1.1484267000744364
SPY,long,2025-05-30 14:40:00+00:00,589.0999755859375,2025-05-30 15:25:00+00:00,589.1254272460938,0.8487523692437504,0.02160215685880395
SPY,short,2025-05-30 15:25:00+00:00,589.1254272460938,2025-05-30 18:30:00+00:00,587.8400268554688,0.8487157010643446,1.0909394936776793
SPY,long,2025-05-30 18:30:00+00:00,587.8400268554688,2025-06-02 14:20:00+00:00,587.8989868164062,0.8505715452461596,0.05014966508226259
SPY,short,2025-06-02 14:20:00+00:00,587.8989868164062,2025-06-02 14:55:00+00:00,589.3300170898438,0.8504862420457683,-1.2170715595095876
SPY,long,2025-06-02 14:55:00+00:00,589.3300170898438,2025-06-03 19:45:00+00:00,595.52001953125,0.8484210637514068,5.251728455961696
SPY,short,2025-06-03 19:45:00+00:00,595.52001953125,2025-06-04 13:35:00+00:00,597.77001953125,0.8396023367838475,-1.889105257763657
SPY,long,2025-06-04 13:35:00+00:00,597.77001953125,2025-06-04 16:10:00+00:00,595.8699951171875,0.8364420825120709,-1.5892603777222147
SPY,short,2025-06-04 16:10:00+00:00,595.8699951171875,2025-06-04 17:25:00+00:00,597.3150024414062,0.8391092085475237,-1.2125189521705704
SPY,long,2025-06-04 17:25:00+00:00,597.3150024414062,2025-06-04 19:35:00+00:00,596.7899780273438,0.8370792596140219,-0.43948704780272313
SPY,short,2025-06-04 19:35:00+00:00,596.7899780273438,2025-06-05 15:10:00+00:00,597.5449829101562,0.8378156778917808,-0.6325549277051592
SPY,long,2025-06-05 15:10:00+00:00,597.5449829101562,2025-06-05 17:00:00+00:00,594.9500122070312,0.8367570882528478,-2.17136012964832
SPY,short,2025-06-05 17:00:00+00:00,594.9500122070312,2025-06-06 13:45:00+00:00,600.510009765625,0.8404067396270757,-4.672659420552274
SPY,long,2025-06-06 13:45:00+00:00,600.510009765625,2025-06-06 17:00:00+00:00,597.5399780273438,0.8326255880316576,-2.472924422559112
SPY,short,2025-06-06 17:00:00+00:00,597.5399780273438,2025-06-06 18:05:00+00:00,599.8400268554688,0.8367640967733204,-1.9245982802005497
SPY,long,2025-06-06 18:05:00+00:00,599.8400268554688,2025-06-09 15:25:00+00:00,599.2150268554688,0.8335555775114601,-0.5209722359446626
SPY,short,2025-06-09 15:25:00+00:00,599.2150268554688,2025-06-09 15:45:00+00:00,599.6749877929688,0.8344250020295311,-0.3838029062069425
SPY,long,2025-06-09 15:45:00+00:00,599.6749877929688,2025-06-09 19:50:00+00:00,599.9500122070312,0.83378498382964,0.22931122663185777
SPY,short,2025-06-09 19:50:00+00:00,599.9500122070312,2025-06-10 14:15:00+00:00,601.0750122070312,0.8334027666082613,-0.9375781124342939
SPY,long,2025-06-10 14:15:00+00:00,601.0750122070312,2025-06-10 18:10:00+00:00,600.77001953125,0.8318429311577878,-0.25370600140353183
SPY,short,2025-06-10 18:10:00+00:00,600.77001953125,2025-06-10 19:00:00+00:00,602.8800048828125,0.8322652325262907,-1.7560674492452313
